video_name,time,OCR
Common Law and Stare Decisis in the US and UK,0.03333333333333333,
Common Law and Stare Decisis in the US and UK,5.0,"IBLI,Business Law Institute"
Common Law and Stare Decisis in the US and UK,10.0,Common Law (UK)
Common Law and Stare Decisis in the US and UK,15.0,Common Law (UK)
Common Law and Stare Decisis in the US and UK,20.0,"Common Law (UK),Judicial decisions by courts/tribunals"
Common Law and Stare Decisis in the US and UK,25.0,"Common Law (UK),Judicial decisions by courts/tribunals"
Common Law and Stare Decisis in the US and UK,30.0,"Common Law (UK),Judicial decisions by courts/tribunals,'Stare decisis' principle"
Common Law and Stare Decisis in the US and UK,35.0,"Common Law (UK),Judicial decisions by courts/tribunals,'Stare decisis' principle"
Common Law and Stare Decisis in the US and UK,40.0,"Common Law (UK),Judicial decisions by courts/tribunals,'Stare decisis' principle"
Common Law and Stare Decisis in the US and UK,45.0,"Common Law (UK),Judicial decisions by courts/tribunals,'Stare decisis' principle"
Common Law and Stare Decisis in the US and UK,50.0,"Common Law (UK),Judicial decisions by courts/tribunals,'Stare decisis' principle"
Common Law and Stare Decisis in the US and UK,55.0,"Common Law (UK),Judicial decisions by courts/tribunals,'Stare decisis' principle"
Common Law and Stare Decisis in the US and UK,60.0,"Common Law (UK),Judicial decisions by courts/tribunals,'Stare decisis' principle"
Common Law and Stare Decisis in the US and UK,65.0,"Common Law (UK),Judicial decisions by courts/tribunals,'Stare decisis' principle"
Common Law and Stare Decisis in the US and UK,70.0,"Common Law (UK),Judicial decisions by courts/tribunals,'Stare decisis' principle"
Common Law and Stare Decisis in the US and UK,75.0,"Common Law (UK),Judicial decisions by courts/tribunals,'Stare decisis' principle"
Common Law and Stare Decisis in the US and UK,80.0,"Common Law (UK),Judicial decisions by courts/tribunals,'Stare decisis' principle"
Common Law and Stare Decisis in the US and UK,85.0,"Common Law (UK),Judicial decisions by courts/tribunals,'Stare decisis' principle"
Common Law and Stare Decisis in the US and UK,90.0,"Stare Decisis (UK),Decisions made in the Supreme Court,and the Court of Appeal become,precedents that must be followed by,courts in all future cases."
Common Law and Stare Decisis in the US and UK,95.0,"Stare Decisis (UK),Decisions made in the Supreme Court,and the Court of Appeal become,precedents that must be followed by,courts in all future cases."
Common Law and Stare Decisis in the US and UK,100.0,"Stare Decisis (UK),Decisions made in the Supreme Court,and the Court of Appeal become,precedents that must be followed by,courts in all future cases."
Common Law and Stare Decisis in the US and UK,105.0,"Stare Decisis (UK),Decisions made in the Supreme Court,and the Court of Appeal become,precedents that must be followed by,courts in all future cases."
