video_name,start_time,end_time,content
Court Jurisdiction in the United States,0.0,16.740000000000002," An important foundational issue in the law is the question of jurisdiction., Jurisdiction is about a court's power to hear a case."
Court Jurisdiction in the United States,16.740000000000002,32.620000000000005," Questions and doctrines related to jurisdiction are especially developed in the United States, where there are a host of rules in this respect., This will therefore be the focus of this lesson."
Court Jurisdiction in the United States,32.620000000000005,49.5," There are three basic aspects to jurisdiction, or three basic types of jurisdiction., The first is whether a court has jurisdiction over the subject matter of a case., That is called subject matter jurisdiction."
Court Jurisdiction in the United States,49.5,64.66," The question here is whether a court is the right court for the type of dispute., For instance, the U.S. Patent Court has jurisdiction over patent disputes, but it has obviously, no jurisdiction over divorce proceedings."
Court Jurisdiction in the United States,64.66,81.32000000000001," Or a criminal law court can hear criminal law cases, but it doesn't have jurisdiction, over civil matters like tort or contractual disputes., The second type of jurisdiction is personal jurisdiction."
Court Jurisdiction in the United States,81.32,96.52," In order to be allowed to hear a case, a court needs to have both subject matter jurisdiction, and personal jurisdiction., Personal jurisdiction asks whether a court has jurisdiction over a specific person or"
Court Jurisdiction in the United States,96.52,117.3," organization as the defendant in a case., Normally, a court in the state where a defendant resides has jurisdiction over that person,, but courts in other states don't., For example, a court in the state of California does not necessarily have jurisdiction over"
Court Jurisdiction in the United States,117.3,132.5," a person who resides in New York., Generally, the doctrine of personal jurisdiction is grounded on two main principles., Courts should protect defendants from the burden of facing litigation in an unlimited"
Court Jurisdiction in the United States,132.5,151.46," number of possibly remote jurisdictions, and courts should prevent states from infringing, on the sovereignty of other states by limiting the circumstances under which defendants can, be hauled into court."
Court Jurisdiction in the United States,151.46,166.5," One exception to these guiding principles is the concept of implied consent., There are various instances where someone's consent to jurisdiction in a place other than, a person's residence can be implied."
Court Jurisdiction in the United States,166.5,186.22," Among others, examples of implied consent include driving on the roads of another state, – this may count as implied consent to be subject to that state's jurisdiction., Committing a tort in another state can also result in implied jurisdiction in that state."
Court Jurisdiction in the United States,186.22,204.74," Furthermore, a non-resident can be served with a summons while personally present in, a state, and is then subject to jurisdiction in that state., But it is also possible to explicitly consent to jurisdiction."
Court Jurisdiction in the United States,204.74,220.82000000000002," For instance, someone who resides in New York could agree to be sued in California., If so, then there is explicit consent to submit to the jurisdiction of the courts in California."
Court Jurisdiction in the United States,220.82,239.66," Businesses can also be subject to jurisdictions outside the state where they are headquartered, if they conduct business in other states., This falls under the minimum contact test, which has been codified in several states', so-called long-arm statutes."
Court Jurisdiction in the United States,239.66,261.02," Doing business in a state can consist of maintaining an office, manufacturing goods, soliciting, business, providing services, etc., The leading case on business and minimum contacts is International Shoe Company vs. State of"
Court Jurisdiction in the United States,261.02,278.96," Washington, a Supreme Court decision from 1945., The plaintiff in that case, the State of Washington, established a tax on business employers, which, which consisted of a mandatory contribution to a fund for unemployed workers in the State"
Court Jurisdiction in the United States,278.96,299.4," of Washington., The defendant, International Shoe Company, was incorporated in Delaware with its principal, place of business in Missouri., The company did not have an office in Washington State., The corporation had maintained for some time a staff of several salesmen in the State of"
Court Jurisdiction in the United States,299.4,314.52," Washington working on commission., The salesmen were residents of that state and they met with prospective customers in, motels and hotels and occasionally rented space to put up displays."
Court Jurisdiction in the United States,314.52,334.09999999999997," International Shoe Company did not pay the tax at issue in this case, so the state tried, to enforce collection., But International Shoe Company disputed the state's jurisdiction over it as a corporate, person., The lower courts held that Washington had personal jurisdiction over the company and"
Court Jurisdiction in the United States,334.09999999999997,352.48," International Shoe appealed to the U.S. Supreme Court., The issue involved a determination of the level of connection that must exist between, a non-resident corporation and a state in order for that corporation to be sued within"
Court Jurisdiction in the United States,352.48,373.06," that state., The Supreme Court held that the activities by its salesmen on behalf of the corporation, established sufficient contacts between the state and the corporation to make it reasonable, and just for the state to enforce against the corporation an obligation arising out"
Court Jurisdiction in the United States,373.06,389.78," of such activities., The key reasons were that there had been continuous and systematic business operations in the, state., Case law on minimum contacts is still evolving."
Court Jurisdiction in the United States,389.78,406.08," More recently, in particular in the context of e-commerce., For instance, some courts have held that a passive web page is insufficient to establish, personal jurisdiction, but an interactive website through which a defendant conducts"
Court Jurisdiction in the United States,406.08,423.59999999999997," business can be enough to establish personal jurisdiction in the locations from where the, website's users access the site., The third and final type of jurisdiction is in rem jurisdiction."
Court Jurisdiction in the United States,423.59999999999997,443.20000000000005," Rem refers to the Latin term for thing or property., In rem jurisdiction asks whether a court has the power to decide cases concerning a specific, property., For example, a court in New York may not have the power to decide cases involving a house"
Court Jurisdiction in the United States,443.20000000000005,462.0," that is located in California., Conversely, the California court will likely have in rem jurisdiction over that property, based on its location., Let's try and apply these principles to an example."
Court Jurisdiction in the United States,462.0,479.08000000000004," Let's say that a tenant rents an apartment in New York from a landlord who resides in, Connecticut., The tenant has a slip and fall in his apartment due to a puddle of water in the lobby and, breaks his leg., Where can the tenant sue the landlord?"
Court Jurisdiction in the United States,479.08000000000004,495.12," There are actually a few options here., The tenant may sue in Connecticut because the landlord resides there., That's personal jurisdiction., The tenant may also sue in New York because the landlord is doing business there by renting"
