video_name,time,OCR
Court Jurisdiction in the United States,0.03333333333333333,
Court Jurisdiction in the United States,5.0,"IBLI,Business Law Institute"
Court Jurisdiction in the United States,10.0,Types of Jurisdiction
Court Jurisdiction in the United States,15.0,Types of Jurisdiction
Court Jurisdiction in the United States,20.0,Types of Jurisdiction
Court Jurisdiction in the United States,25.0,Types of Jurisdiction
Court Jurisdiction in the United States,30.0,Types of Jurisdiction
Court Jurisdiction in the United States,35.0,"Types of Jurisdiction,Subject matter jurisdiction"
Court Jurisdiction in the United States,40.0,"Types of Jurisdiction,Subject matter jurisdiction"
Court Jurisdiction in the United States,45.0,"Types of Jurisdiction,Subject matter jurisdiction"
Court Jurisdiction in the United States,50.0,"Types of Jurisdiction,Subject matter jurisdiction"
Court Jurisdiction in the United States,55.0,"Types of Jurisdiction,Subject matter jurisdiction"
Court Jurisdiction in the United States,60.0,"Types of Jurisdiction,Subject matter jurisdiction"
Court Jurisdiction in the United States,65.0,"Types of Jurisdiction,Subject matter jurisdiction"
Court Jurisdiction in the United States,70.0,"Types of Jurisdiction,Subject matter jurisdiction"
Court Jurisdiction in the United States,75.0,"Types of Jurisdiction,Subject matter jurisdiction"
Court Jurisdiction in the United States,80.0,"Types of Jurisdiction,Subject matter jurisdiction,Personal jurisdiction"
Court Jurisdiction in the United States,85.0,"Types of Jurisdiction,Subject matter jurisdiction,Personal jurisdiction"
Court Jurisdiction in the United States,90.0,"Types of Jurisdiction,Subject matter jurisdiction,Personal jurisdiction"
Court Jurisdiction in the United States,95.0,"Types of Jurisdiction,Subject matter jurisdiction,Personal jurisdiction"
Court Jurisdiction in the United States,100.0,"Types of Jurisdiction,Subject matter jurisdiction,Personal jurisdiction"
Court Jurisdiction in the United States,105.0,"Types of Jurisdiction,Subject matter jurisdiction,Personal jurisdiction"
Court Jurisdiction in the United States,110.0,"Types of Jurisdiction,Subject matter jurisdiction,Personal jurisdiction"
Court Jurisdiction in the United States,115.0,"Types of Jurisdiction,Subject matter jurisdiction,Personal jurisdiction"
Court Jurisdiction in the United States,120.0,"Types of Jurisdiction,Subject matter jurisdiction,Personal jurisdiction"
Court Jurisdiction in the United States,125.0,"Types of Jurisdiction,Subject matter jurisdiction,Personal jurisdiction"
Court Jurisdiction in the United States,130.0,"Types of Jurisdiction,Subject matter jurisdiction,Personal jurisdiction"
Court Jurisdiction in the United States,135.0,"Types of Jurisdiction,Subject matter jurisdiction,Personal jurisdiction"
Court Jurisdiction in the United States,140.0,"Types of Jurisdiction,Subject matter jurisdiction,Personal jurisdiction"
Court Jurisdiction in the United States,145.0,"Types of Jurisdiction,Subject matter jurisdiction,Personal jurisdiction"
Court Jurisdiction in the United States,150.0,"Types of Jurisdiction,Subject matter jurisdiction,Personal jurisdiction"
Court Jurisdiction in the United States,155.0,"Types of Jurisdiction,Subject matter jurisdiction,Personal jurisdiction,Implied and explicit consent"
Court Jurisdiction in the United States,160.0,"Types of Jurisdiction,Subject matter jurisdiction,Personal jurisdiction,Implied and explicit consent"
Court Jurisdiction in the United States,165.0,"Types of Jurisdiction,Subject matter jurisdiction,Personal jurisdiction,Implied and explicit consent"
