video_name,time,OCR
Federal vs State Jurisdiction in the US,0.03333333333333333,
Federal vs State Jurisdiction in the US,5.0,"IBLI,Business Law Institute"
Federal vs State Jurisdiction in the US,10.0,"Federal Jurisdiction,OF,FEDEI,★"
Federal vs State Jurisdiction in the US,15.0,"Federal Jurisdiction,OF,FEDER,★"
Federal vs State Jurisdiction in the US,20.0,"Federal Jurisdiction,OF,FEDER,★"
Federal vs State Jurisdiction in the US,25.0,"Federal Jurisdiction,US is a party,OF,FEDER,★"
Federal vs State Jurisdiction in the US,30.0,"Federal Jurisdiction,US is a party,Diversity (different states) and,OF,>$75,000 in dispute,FEDER,★,CUIT"
Federal vs State Jurisdiction in the US,35.0,"Federal Jurisdiction,US is a party,Diversity (different states) and,OF,>$75,000 in dispute,FEDER,★,CUIT"
Federal vs State Jurisdiction in the US,40.0,"Federal Jurisdiction,US is a party,Diversity (different states) and,OF,>$75,000 in dispute,FEDER,★,CUIT"
Federal vs State Jurisdiction in the US,45.0,"Federal Jurisdiction,US is a party,Diversity (different states) and,OF,>$75,000 in dispute,FEDER,★,CUIT"
Federal vs State Jurisdiction in the US,50.0,"Federal Jurisdiction,US is a party,Diversity (different states) and,OF,>$75,000 in dispute,FEDER,★,CUIT"
Federal vs State Jurisdiction in the US,55.0,"Federal Jurisdiction,US is a party,Diversity (different states) and,OF,>$75,000 in dispute,FEDER,Issue allocated by law/constitution,★,CUIT"
Federal vs State Jurisdiction in the US,60.0,"Federal Jurisdiction,US is a party,Diversity (different states) and,OF,>$75,000 in dispute,FEDER,Issue allocated by law/constitution,★,CUIT"
Federal vs State Jurisdiction in the US,65.0,"Federal Jurisdiction,US is a party,Diversity (different states) and,OF,>$75,000 in dispute,FEDER,Issue allocated by law/constitution,★,CUIT"
Federal vs State Jurisdiction in the US,70.0,"Federal Jurisdiction,US is a party,Diversity (different states) and,OF,>$75,000 in dispute,FEDER,Issue allocated by law/constitution,Issues involving federal law or US,Constitution,★,CUIT"
Federal vs State Jurisdiction in the US,75.0,"Federal Jurisdiction,US is a party,Diversity (different states) and,OF,>$75,000 in dispute,FEDER,Issue allocated by law/constitution,Issues involving federal law or US,Constitution,★,CUIT"
Federal vs State Jurisdiction in the US,80.0,"Federal Jurisdiction,US is a party,Diversity (different states) and,OF,>$75,000 in dispute,FEDER,Issue allocated by law/constitution,Issues involving federal law or US,Constitution,★,CUIT"
Federal vs State Jurisdiction in the US,85.0,"Federal Jurisdiction,US is a party,Diversity (different states) and,OF,>$75,000 in dispute,FEDER,Issue allocated by law/constitution,Issues involving federal law or US,Constitution,★,CUIT"
Federal vs State Jurisdiction in the US,90.0,"Federal Jurisdiction,US is a party,Diversity (different states) and,OF,>$75,000 in dispute,FEDER,Issue allocated by law/constitution,Issues involving federal law or US,Constitution,★,CUIT,Bankruptcy, IP, maritime law, etc."
Federal vs State Jurisdiction in the US,95.0,"Federal Jurisdiction,US is a party,Diversity (different states) and,OF,>$75,000 in dispute,FEDER,Issue allocated by law/constitution,Issues involving federal law or US,Constitution,★,CUIT,Bankruptcy, IP, maritime law, etc."
Federal vs State Jurisdiction in the US,100.0,"State Jurisdiction,NEW,YORK,COURT,OF"
Federal vs State Jurisdiction in the US,105.0,"State Jurisdiction,State constitutional law,YORK,COURT,EXCELSIOR,OF"
Federal vs State Jurisdiction in the US,110.0,"State Jurisdiction,State constitutional law,YORK,COURT,EXCELSIOR,OF"
Federal vs State Jurisdiction in the US,115.0,"State Jurisdiction,State constitutional law,Matters not reserved to federal courts,YORK,COURT,OF"
Federal vs State Jurisdiction in the US,120.0,"State Jurisdiction,State constitutional law,Matters not reserved to federal courts,YORK,COURT,OF"
Federal vs State Jurisdiction in the US,125.0,"State Jurisdiction,State constitutional law,Matters not reserved to federal courts,YORK,COURT,OF"
Federal vs State Jurisdiction in the US,130.0,"State Jurisdiction,State constitutional law,Matters not reserved to federal courts,YORK,COURT,OF"
Federal vs State Jurisdiction in the US,135.0,"State Jurisdiction,State constitutional law,Matters not reserved to federal courts,YORK,COURT,OF"
Federal vs State Jurisdiction in the US,140.0,"State Jurisdiction,State constitutional law,Matters not reserved to federal courts,YORK,COURT,OF"
Federal vs State Jurisdiction in the US,145.0,"State Jurisdiction,State constitutional law,Matters not reserved to federal courts,YORK,COURT,OF"
Federal vs State Jurisdiction in the US,150.0,"State Jurisdiction,State constitutional law,Matters not reserved to federal courts,YORK,COURT,OF"
Federal vs State Jurisdiction in the US,155.0,"State Jurisdiction,State constitutional law,Matters not reserved to federal courts,YORK,COURT,OF"
Federal vs State Jurisdiction in the US,160.0,
Federal vs State Jurisdiction in the US,160.3,
