video_name,time,OCR
How To Write A Case Brief or Case Outline for Law School (With An Example),0.03333333333333333,
How To Write A Case Brief or Case Outline for Law School (With An Example),5.0,"IBLI,Business Law Institute"
How To Write A Case Brief or Case Outline for Law School (With An Example),10.0,"No.11-1352,JnThe,How to Read (and Brief) Cases,Supreme Court of the nited tates,CCAASSOCIATES,,Petitioner,,V.,UNITEDSTATES,Respondent.,ONPETITIONFORWRITOFCERTIORARITO,THEUNITEDSTATESCOURTOFAPPEALS,FORTHEFEDERAL CIRCUIT,BRIEFAMICUSCURIAEOF,THENATIONALFEDERATIONOFINDEPENDENT,BUSINESSSMALLBUSINESSLEGALCENTER,,THE CATOINSTITUTE,AND THECENTERFOR,CONSTITUTIONALJURISPRUDENCE,Steven J.Eagle,Counselof Record,GEORGEMASONUNIVERSITYSCHOOLOFLAW,3301 FairfaxDrive,Arlington,Virginia 22201,(703)993-8054,seagle@gmu.edu,Counsel forAmicusCuriae,Dated:June 11,2012,(additionalcounsel listedinsidecover),THELEXGROUPD1S25KSe,N.W.,ton,D.C.20006"
How To Write A Case Brief or Case Outline for Law School (With An Example),15.0,"No.11-1352,3nThe,How to Read (and Brief) Cases,Supreme Court of the nited States,CCAASSOCIATES,,Petitioner,,V.,UNITEDSTATES,Respondent.,ONPETITIONFORWRITOFCERTIORARITO,THEUNITEDSTATESCOURTOFAPPEALS,FORTHEFEDERALCIRCUIT,BRIEFAMICUS CURIAEOF,THENATIONALFEDERATIONOFINDEPENDENT,BUSINESSSMALLBUSINESSLEGAL CENTER,,THE CATOINSTITUTE,AND THE CENTERFOR,CONSTITUTIONALJURISPRUDENCE,Steven J.Eagle,Counselof Record,GEORGEMASONUNIVERSITYSCHOOLOFLAW,3301FairfaxDrive,Arlington,Virginia 22201,(703)993-8054,seagle@gmu.edu,Counsel forAmicusCuriae,Dated:June11,2012,(additionalcounsel listedinsidecover),THELEXGROUPDC1S25KSeN.W.S,gton,D.C.20006"
How To Write A Case Brief or Case Outline for Law School (With An Example),20.0,"No.11-1352,3nThe,How to Read (and Brief) Cases,Supreme Court of the nited States,CCAASSOCIATES,,Petitioner,,V.,UNITEDSTATES,Respondent.,ONPETITIONFORWRITOFCERTIORARITO,THEUNITEDSTATESCOURTOFAPPEALS,FORTHEFEDERALCIRCUIT,BRIEFAMICUS CURIAEOF,THENATIONALFEDERATIONOFINDEPENDENT,BUSINESSSMALLBUSINESSLEGAL CENTER,,THE CATOINSTITUTE,AND THE CENTERFOR,CONSTITUTIONALJURISPRUDENCE,Steven J.Eagle,Counselof Record,GEORGEMASONUNIVERSITYSCHOOLOFLAW,3301FairfaxDrive,Arlington,Virginia 22201,(703)993-8054,seagle@gmu.edu,Counsel forAmicusCuriae,Dated:June11,2012,(additionalcounsel listedinsidecover),THELEXGROUPDC1S25KSeN.W.S,gton,D.C.20006"
How To Write A Case Brief or Case Outline for Law School (With An Example),25.0,"No.11-1352,3nThe,How to Read (and Brief) Cases,Supreme Court of the nited States,CCAASSOCIATES,,Petitioner,,V.,UNITEDSTATES,Respondent.,ONPETITIONFORWRITOFCERTIORARITO,THEUNITEDSTATESCOURTOFAPPEALS,FORTHEFEDERALCIRCUIT,BRIEFAMICUS CURIAEOF,THENATIONALFEDERATIONOFINDEPENDENT,BUSINESSSMALLBUSINESSLEGAL CENTER,,THE CATOINSTITUTE,AND THE CENTERFOR,CONSTITUTIONALJURISPRUDENCE,Steven J.Eagle,Counselof Record,GEORGEMASONUNIVERSITYSCHOOLOFLAW,3301FairfaxDrive,Arlington,Virginia 22201,(703)993-8054,seagle@gmu.edu,Counsel forAmicusCuriae,Dated:June11,2012,(additionalcounsel listedinsidecover),THELEXGROUPDC1S25KSeN.W.S,gton,D.C.20006"
How To Write A Case Brief or Case Outline for Law School (With An Example),30.0,"No.11-1352,3nThe,How to Read (and Brief) Cases,Supreme Court of the nited States,CCAASSOCIATES,,Petitioner,,V.,Parties / Caption,UNITEDSTATES,,Respondent.,ONPETITIONFORWRITOFCERTIORARITO,THEUNITEDSTATESCOURTOFAPPEALS,FOR THEFEDERAL CIRCUIT,BRIEFAMICUSCURIAEOF,THENATIONALFEDERATIONOFINDEPENDENT,BUSINESSSMALLBUSINESSLEGAL CENTER,,THE CATOINSTITUTE,AND THE CENTERFOR,CONSTITUTIONALJURISPRUDENCE,Steven J.Eagle,Counselof Record,GEORGEMASONUNIVERSITYSCHOOLOFLAW,3301 FairfaxDrive,Arlington,Virginia 22201,(703)993-8054,seagle@gmu.edu,Counsel forAmicusCuriae,Dated:June11,2012,(additionalcounsel listedinsidecover),THELEXGROUPDC1S25KSeN.W.S,ton,D.C.20006"
How To Write A Case Brief or Case Outline for Law School (With An Example),35.0,"No.11-1352,3nThe,How to Read (and Brief) Cases,Supreme Court of the nited States,CCAASSOCIATES,,Petitioner,,V.,Parties / Caption,UNITEDSTATES,Respondent.,ONPETITIONFORWRITOFCERTIORARITO,THEUNITEDSTATESCOURTOFAPPEALS,FOR THEFEDERAL CIRCUIT,BRIEFAMICUSCURIAEOF,THENATIONALFEDERATIONOFINDEPENDENT,BUSINESSSMALLBUSINESSLEGAL CENTER,,THE CATOINSTITUTE,AND THE CENTERFOR,CONSTITUTIONALJURISPRUDENCE,Steven J.Eagle,Counselof Record,GEORGEMASONUNIVERSITYSCHOOLOFLAW,3301FairfaxDrive,Arlington,Virginia 22201,(703)993-8054,seagle@gmu.edu,Counsel forAmicusCuriae,Dated:June11,2012,(additionalcounsel listedinsidecover),THELEXGROUPDC1S25KSeN.W.S,ton,D.C.20006"
How To Write A Case Brief or Case Outline for Law School (With An Example),40.0,"No.11-1352,3nThe,How to Read (and Brief) Cases,Supreme Court of the nited States,CCAASSOCIATES,,Petitioner,,V.,Parties / Caption,UNITEDSTATES,,Respondent.,ONPETITIONFORWRITOFCERTIORARITO,THEUNITEDSTATESCOURTOFAPPEALS,FOR THEFEDERAL CIRCUIT,BRIEFAMICUSCURIAEOF,THENATIONALFEDERATIONOFINDEPENDENT,BUSINESSSMALLBUSINESSLEGAL CENTER,,THE CATOINSTITUTE,AND THE CENTERFOR,CONSTITUTIONALJURISPRUDENCE,Steven J.Eagle,Counselof Record,GEORGEMASONUNIVERSITYSCHOOLOFLAW,3301FairfaxDrive,Arlington,Virginia 22201,(703)993-8054,seagle@gmu.edu,Counsel forAmicusCuriae,Dated:June11,2012,(additionalcounsel listedinsidecover),THELEXGROUPDC1S25KSeN.W.S,ton,D.C.20006"
How To Write A Case Brief or Case Outline for Law School (With An Example),45.0,"No.11-1352,3nThe,How to Read (and Brief) Cases,Supreme Court of the nited States,CCAASSOCIATES,,Petitioner,,V.,Parties / Caption,UNITEDSTATES,,Respondent.,ONPETITIONFORWRITOFCERTIORARITO,THEUNITEDSTATESCOURTOFAPPEALS,FOR THEFEDERAL CIRCUIT,BRIEFAMICUSCURIAEOF,THENATIONALFEDERATIONOFINDEPENDENT,BUSINESSSMALLBUSINESSLEGAL CENTER,,THE CATOINSTITUTE,AND THE CENTERFOR,CONSTITUTIONALJURISPRUDENCE,Steven J.Eagle,Counselof Record,GEORGEMASONUNIVERSITYSCHOOLOFLAW,3301FairfaxDrive,Arlington,Virginia 22201,(703)993-8054,seagle@gmu.edu,Counsel forAmicusCuriae,Dated:June11,2012,(additionalcounsel listedinsidecover),THELEXGROUPDC1S25KSeN.W.S,ton,D.C.20006"
