video_name,start_time,end_time,content
Legal Terms and Terminology,0.0,15.74," In this lesson, we will discuss case briefs., But first, let's quickly go over some basic terminology that will be helpful when you"
Legal Terms and Terminology,15.74,39.76," read cases as well as other legal documents., Lawyer, Attorney, and Counsel., In legal disputes, each party ordinarily is represented by a lawyer., However, in the US, lawyers are often also referred to as attorney or counsel."
Legal Terms and Terminology,39.76,56.72," Barister and Solicitor., In the UK, when referring to lawyers, the terms solicitor and barrister are commonly, used., But there is a difference between the two., Quite simply, baristers tend to practice as advocates representing clients in court."
Legal Terms and Terminology,56.72,75.0," In contrast, solicitors tend to perform the majority of their legal work in a law firm, or office setting., They don't appear in front of courts themselves., Rather, if there's a need to do so, they will instruct a barrister."
Legal Terms and Terminology,75.0,90.4," Judge, Court, and Justice., Judges are the trier of facts., They're the ones that decide cases., Depending on the specific court, one or more judges together form the court, which is the"
Legal Terms and Terminology,90.4,106.96000000000001," forum in which contentious legal cases are brought and resolved., Judges will usually refer to themselves as the court., When an attorney addresses a judge in court in the United States, he or she will always"
Legal Terms and Terminology,107.03999999999999,127.36," address the judge as your honor., Judges are sometimes also referred to as justice., All US Supreme Court justices are called justices., In the United Kingdom, it depends on the level of court how judges are addressed."
Legal Terms and Terminology,127.36,145.04000000000002," In addition to your honor, for many courts it is common for baristers appearing in front, of it to address the judges as my lord or my lady., Including at the Supreme Court level where the judges are called lords or ladies."
Legal Terms and Terminology,145.04000000000002,164.84," Appeal, Appellant, Appellee., Most opinions that are read in law school and that we discuss in our courses are appellate, opinions., That means that they decide or have decided the outcome of an appeal., An appeal is a legal proceeding that considers whether another lower court's legal decision"
Legal Terms and Terminology,164.92000000000002,184.48000000000002," was right or wrong., After a court has ruled for one side, the losing side may seek review of that decision, by filing an appeal before a higher court., During the proceedings before the higher court, the party that lost at the original court"
Legal Terms and Terminology,184.48000000000002,201.68," and is therefore filing the appeal is usually known as the appellant., The party that won in the lower court and must defend the lower court's decision is, known as the appellee."
Legal Terms and Terminology,201.68,220.4," Petition, Petitioner, Respondent., Some courts label an appeal as a petition and require the losing party to petition the, higher court for relief., In these cases, the party that lost before the lower court and is filing the petition"
Legal Terms and Terminology,220.4,232.88," for review is called the petitioner., The party that won before the lower court and is responding to the petition in the higher, court is called the respondent."
