video_name,time,OCR
Positive Laws and Statutory Interpretation,0.03333333333333333,
Positive Laws and Statutory Interpretation,5.0,"IBLI,Business Law Institute"
Positive Laws and Statutory Interpretation,10.0,Positive Laws
Positive Laws and Statutory Interpretation,15.0,Positive Laws
Positive Laws and Statutory Interpretation,20.0,"Positive Laws,Natural vs. positive law"
Positive Laws and Statutory Interpretation,25.0,"Positive Laws,Natural vs. positive law"
Positive Laws and Statutory Interpretation,30.0,"Positive Laws,Natural vs. positive law"
Positive Laws and Statutory Interpretation,35.0,"Positive Laws,Natural vs. positive law"
Positive Laws and Statutory Interpretation,40.0,"Positive Laws,Natural vs. positive law"
Positive Laws and Statutory Interpretation,45.0,"Positive Laws,Natural vs. positive law,Positive laws:,Enacted by legislative or other,official bodies"
Positive Laws and Statutory Interpretation,50.0,"Positive Laws,Natural vs. positive law,Positive laws:,Enacted by legislative or other,official bodies"
Positive Laws and Statutory Interpretation,55.0,"Positive Laws,Natural vs. positive law,Positive laws:,Enacted by legislative or other,official bodies"
Positive Laws and Statutory Interpretation,60.0,"Positive Laws,Natural vs. positive law,Positive laws:,Enacted by legislative or other,official bodies"
Positive Laws and Statutory Interpretation,65.0,"Positive Laws,Natural vs. positive law,Positive laws:,Enacted by legislative or other,official bodies"
Positive Laws and Statutory Interpretation,70.0,"Positive Laws,Natural vs. positive law,Positive laws:,Enacted by legislative or other,official bodies"
Positive Laws and Statutory Interpretation,75.0,"Positive Laws,Natural vs. positive law,Positive laws:,Enacted by legislative or other,official bodies"
Positive Laws and Statutory Interpretation,80.0,"Positive Laws,Natural vs. positive law,Positive laws:,Enacted by legislative or other,official bodies"
Positive Laws and Statutory Interpretation,85.0,"Positive Laws,Natural vs. positive law,Positive laws:,Enacted by legislative or other,official bodies"
Positive Laws and Statutory Interpretation,90.0,"Positive Laws,Natural vs. positive law,Positive laws:,Enacted by legislative or other,official bodies"
Positive Laws and Statutory Interpretation,95.0,"Positive Laws,Natural vs. positive law,Positive law:,Enacted by legislative or other,official bodies"
Positive Laws and Statutory Interpretation,100.0,"Positive Laws,Natural vs. positive law,Positive law:,Enacted by legislative or other,official bodies"
Positive Laws and Statutory Interpretation,105.0,"Positive Laws,Natural vs. positive law,Positive law:,Enacted by legislative or other,official bodies"
Positive Laws and Statutory Interpretation,110.0,"Positive Laws,Natural vs. positive law,Positive law:,Enacted by legislative or other,official bodies"
