video_name,time,OCR
The UK Court System Explained _ How the UK Court System Works,0.03333333333333333,
The UK Court System Explained _ How the UK Court System Works,5.0,"IBLI,Business Law Institute"
The UK Court System Explained _ How the UK Court System Works,10.0,"UK Court System,UK Supreme Court,Court of Appeal,High Court,Crown Court,Tribunals,Family,County,Magistrates' Courts,Court,Courts"
The UK Court System Explained _ How the UK Court System Works,15.0,"UK Court System,UK Supreme Court,Court of Appeal,High Court,Crown Court,Tribunals,Family,County,Magistrates' Courts,Court,Courts"
The UK Court System Explained _ How the UK Court System Works,20.0,"UK Court System,UK Supreme Court,Court of Appeal,High Court,Crown Court,Tribunals,Family,County,Magistrates' Courts,Court,Courts"
The UK Court System Explained _ How the UK Court System Works,25.0,"UK Court System,UK Supreme Court,Court of Appeal,High Court,Crown Court,Tribunals,Family,County,Magistrates' Courts,Court,Courts"
The UK Court System Explained _ How the UK Court System Works,30.0,"UK Court System,UK Supreme Court,Court of Appeal,High Court,Crown Court,Tribunals,Family,County,Magistrates' Courts,Court,Courts"
The UK Court System Explained _ How the UK Court System Works,35.0,"UK Court System,UK Supreme Court,Court of Appeal,High Court,Crown Court,Tribunals,Family,County,Magistrates' Courts,Court,Courts"
The UK Court System Explained _ How the UK Court System Works,40.0,"UK Court System,UK Supreme Court,Court of Appeal,High Court,Crown Court,Tribunals,Family,County,Magistrates' Courts,Court,Courts"
The UK Court System Explained _ How the UK Court System Works,45.0,"UK Court System,UK Supreme Court,Court of Appeal,High Court,Crown Court,Tribunals,Family,County,Magistrates' Courts,Court,Courts"
The UK Court System Explained _ How the UK Court System Works,50.0,"UK Court System,UK Supreme Court,Court of Appeal,High Court,Crown Court,Tribunals,Family,County,Magistrates' Courts,Court,Courts"
The UK Court System Explained _ How the UK Court System Works,55.0,"UK Court System,UK Supreme Court,Court of Appeal,High Court,Crown Court,Tribunals,Family,County,Magistrates' Courts,Court,Courts"
The UK Court System Explained _ How the UK Court System Works,60.0,"UK Court System,UK Supreme Court,Court of Appeal,High Court,Crown Court,Tribunals,Family,County,Magistrates' Courts,Court,Courts"
