video_name,time,OCR
The US Court System Explained _ How the United States Court System Works,0.03333333333333333,"IBLI,Business Law Institute"
The US Court System Explained _ How the United States Court System Works,5.0,"US Court System,Us Supreme Court,Special,State Supreme Courts,US Court of Appeals,Federal,Courts and,Entities,Intermediate Appellate,Courts,US District Courts,State Trial Courts"
The US Court System Explained _ How the United States Court System Works,10.0,"US Court System,US Supreme Court,Special,State Supreme Courts,US Court of Appeals,Federal,Courts and,Entities,Intermediate Appellate,Courts,US District Courts,State Trial Courts"
The US Court System Explained _ How the United States Court System Works,15.0,"US Court System,US Supreme Court,Special,State Supreme Courts,US Court of Appeals,Federal,Courts and,Entities,Intermediate Appellate,Courts,US District Courts,State Trial Courts"
The US Court System Explained _ How the United States Court System Works,20.0,"US Court System,US Supreme Court,Special,State Supreme Courts,US Court of Appeals,Federal,Courts and,Entities,Intermediate Appellate,Courts,US District Courts,State Trial Courts"
The US Court System Explained _ How the United States Court System Works,25.0,"US Court System,US Supreme Court,Special,State Supreme Courts,US Court of Appeals,Federal,Courts and,Entities,Intermediate Appellate,Courts,US District Courts,State Trial Courts"
The US Court System Explained _ How the United States Court System Works,30.0,"US Court System,US Supreme Court,Special,State Supreme Courts,US Court of Appeals,Federal,Courts and,Entities,Intermediate Appellate,Courts,US District Courts,State Trial Courts"
The US Court System Explained _ How the United States Court System Works,35.0,"US Court System,US Supreme Court,Special,State Supreme Courts,US Court of Appeals,Federal,Courts and,Entities,Intermediate Appellate,Courts,US District Courts,State Trial Courts"
The US Court System Explained _ How the United States Court System Works,40.0,"US Court System,US Supreme Court,Special,State Supreme Courts,US Court of Appeals,Federal,Courts and,Entities,Intermediate Appellate,Courts,US District Courts,State Trial Courts"
The US Court System Explained _ How the United States Court System Works,45.0,"US Court System,US Supreme Court,Special,State Supreme Courts,US Court of Appeals,Federal,Courts and,Entities,Intermediate Appellate,Courts,US District Courts,State Trial Courts"
The US Court System Explained _ How the United States Court System Works,50.0,"US Court System,US Supreme Court,Special,State Supreme Courts,US Court of Appeals,Federal,Courts and,Entities,Intermediate Appellate,Courts,US District Courts,State Trial Courts"
The US Court System Explained _ How the United States Court System Works,55.0,"US Court System,US Supreme Court,Special,State Supreme Courts,US Court of Appeals,Federal,Courts and,Entities,Intermediate Appellate,Courts,US District Courts,State Trial Courts"
The US Court System Explained _ How the United States Court System Works,60.0,"US Court System,US Supreme Court,Special,State Supreme Courts,US Court of Appeals,Federal,Courts and,Entities,Intermediate Appellate,Courts,US District Courts,State Trial Courts"
The US Court System Explained _ How the United States Court System Works,65.0,"US Court System,US Supreme Court,Special,State Supreme Courts,US Court of Appeals,Federal,Courts and,Entities,Intermediate Appellate,Courts,US District Courts,State Trial Courts"
The US Court System Explained _ How the United States Court System Works,70.0,"US Court System,US Supreme Court,Special,State Supreme Courts,US Court of Appeals,Federal,Courts and,Entities,Intermediate Appellate,Courts,US District Courts,State Trial Courts"
The US Court System Explained _ How the United States Court System Works,75.0,"US Court System,US Supreme Court,Special,State Supreme Courts,US Court of Appeals,Federal,Courts and,Entities,Intermediate Appellate,Courts,US District Courts,State Trial Courts"
The US Court System Explained _ How the United States Court System Works,80.0,"US Court System,US Supreme Court,Special,State Supreme Courts,US Court of Appeals,Federal,Courts and,Entities,Intermediate Appellate,Courts,US District Courts,State Trial Courts"
The US Court System Explained _ How the United States Court System Works,85.0,"US Court System,US Supreme Court,Special,State Supreme Courts,US Court of Appeals,Federal,Courts and,Entities,Intermediate Appellate,Courts,US District Courts,State Trial Courts"
The US Court System Explained _ How the United States Court System Works,90.0,"US Court System,US Supreme Court,Special,State Supreme Courts,US Court of Appeals,Federal,Courts and,Entities,Intermediate Appellate,Courts,US District Courts,State Trial Courts"
The US Court System Explained _ How the United States Court System Works,95.0,"US Court System,US Supreme Court,Special,State Supreme Courts,US Court of Appeals,Federal,Courts and,Entities,Intermediate Appellate,Courts,US District Courts,State Trial Courts"
The US Court System Explained _ How the United States Court System Works,100.0,"US Court System,US Supreme Court,Special,State Supreme Courts,US Court of Appeals,Federal,Courts and,Entities,Intermediate Appellate,Courts,US District Courts,State Trial Courts"
The US Court System Explained _ How the United States Court System Works,105.0,"US Court System,US Supreme Court,Special,State Supreme Courts,US Court of Appeals,Federal,Courts and,Entities,Intermediate Appellate,Courts,US District Courts,State Trial Courts"
