video_name,start_time,end_time,content
What is Law About_ Exploring the Definition of Law vs Ethics and Morality,0.0,19.64," Let's begin our course with a very basic but fundamental task of defining the term, and nature of the law., A natural starting point for doing so is to look at the concepts of ethics and morality."
What is Law About_ Exploring the Definition of Law vs Ethics and Morality,19.64,35.44," Certainly what we as a society, considered to be ethical or moral behavior, must provide, some type of guidance as to what the law tells us to do., But simply, ethical or moral behavior is behavior that is in line with societal expectations."
What is Law About_ Exploring the Definition of Law vs Ethics and Morality,35.44,50.480000000000004," Conversely, unethical or immoral behavior is something that society deems wrong based, on informal norms and customs., Let's contrast that with law., Law is not about informal customs or norms."
What is Law About_ Exploring the Definition of Law vs Ethics and Morality,50.480000000000004,67.44," Law consists of enforceable rules., Moreover, law is not necessarily or not fully reflective with what society deems to be moral., For example, driving slightly over the speed limit may not be seen by some as immoral,, but it is against the law."
What is Law About_ Exploring the Definition of Law vs Ethics and Morality,67.44,85.39999999999999," At the same time, the law does not prohibit all behavior that society may perceive as, bad or unethical., An action that is unethical may, nonetheless, be legal., This can often be seen in the business world., Take for example the case of United States v. Brown, decided by the U.S. Court of Appeals"
What is Law About_ Exploring the Definition of Law vs Ethics and Morality,85.39999999999999,104.75999999999999," for the Eleventh Circuit., In its decision, the Court noted,, And the fraud statutes do not cover all behavior which strays from the ideal."
What is Law About_ Exploring the Definition of Law vs Ethics and Morality,104.76,122.92," This has not yet criminalized all sharp conduct, manipulative acts, or unethical transactions., As you can see, the Eleventh Circuit here clearly draws a line between ethical conduct, and legal conduct, noting that simply because something is seen as unethical, it doesn't"
What is Law About_ Exploring the Definition of Law vs Ethics and Morality,122.92,142.35999999999999," necessarily mean that it is also prohibited by the law., Ethics, morality, and the law are related, since there are interconnections between them., For instance, a judge or jury's assessment of the ethical character of an action may, determine how the law is interpreted and applied in a given case."
What is Law About_ Exploring the Definition of Law vs Ethics and Morality,142.35999999999999,159.6," The law also often reflects society's consensus about what constitutes appropriate behavior., Law can further help define the roles that individuals or business managers play, how, they play those roles, and evaluate whether they played them well."
What is Law About_ Exploring the Definition of Law vs Ethics and Morality,159.6,179.0," Law may also influence what we as a society deem ethical., So over time, there are various, often subtle relationships between ethics, morality, norms,, customs, and the law., The Canadian Department of Justice has provided this helpful statement about ethics, morality,"
What is Law About_ Exploring the Definition of Law vs Ethics and Morality,179.0,195.7," and law., Almost everything we do has a set of rules., There are rules for games, for social clubs, for sports, and for the workplace., Rules of morality and custom tell us what we should and should not do."
What is Law About_ Exploring the Definition of Law vs Ethics and Morality,195.7,212.42," It continued, rules made by government are called laws., Laws are meant to control or change our behavior., And unlike rules of morality, they are enforced by the courts., If you break a law, whether you like that law or not, you may have to pay a fine, pay"
What is Law About_ Exploring the Definition of Law vs Ethics and Morality,212.42,228.07999999999998," for the damage you have done, or go to jail., For in other words, the law embodies a set of rules., And what differentiates these rules from other rules that we encounter is that ignoring them, can have far more drastic consequences."
What is Law About_ Exploring the Definition of Law vs Ethics and Morality,228.07999999999998,244.22," It also goes back to the element of enforceability that we mentioned earlier., Finally, another important contribution on the definition of the law comes from legal, professor and former Harvard Law professor, Lon Fuller."
What is Law About_ Exploring the Definition of Law vs Ethics and Morality,244.3,263.72," Fuller developed a set of eight widely recognized characteristics that rules must possess before, they can be called legal rules., They are not 100% applicable to today's legal system, but overall they still capture the, nature of legal rules."
What is Law About_ Exploring the Definition of Law vs Ethics and Morality,263.72,281.03999999999996," The first one is generality., Legal rules must be formulated so that they apply generally and not to specific situations, or persons., The second is stability., A legal rule has to be, at least somewhat, stable."
What is Law About_ Exploring the Definition of Law vs Ethics and Morality,281.03999999999996,296.09999999999997," It cannot change constantly., The third is prospectivity., Legal rules should be forward-looking, not retroactive., The fourth is promulgation., Legal rules cannot be hidden or secret."
What is Law About_ Exploring the Definition of Law vs Ethics and Morality,296.09999999999997,314.32000000000005," They must be published., The fifth is clarity., Legal rules must be clear and understandable in what they say., The sixth is non-contradiction., Legal rules must not contradict each other."
What is Law About_ Exploring the Definition of Law vs Ethics and Morality,314.32000000000005,329.56," The seventh is congruence., There mustn't be any differences between rules as announced and rules as applied., And the eighth is possibility., Legal rules may not call for actions that are not feasible for those that are subject"
