video_name,time,OCR
Why Do We Need Law or Laws in Society_,0.03333333333333333,
Why Do We Need Law or Laws in Society_,5.0,"IBLI,Business Law Institute"
Why Do We Need Law or Laws in Society_,10.0,"Why Do We Need Law?,COURT MD,861,L19,1862"
Why Do We Need Law or Laws in Society_,15.0,"Why Do We Need Law?,COURT MP,861,L19,1862"
Why Do We Need Law or Laws in Society_,20.0,"Why Do We Need Law?,COURT M,861,L19,1862"
Why Do We Need Law or Laws in Society_,25.0,"Why Do We Need Law?,COURT M,Protect from market failures,861,19,1862"
Why Do We Need Law or Laws in Society_,30.0,"Why Do We Need Law?,COURT MP,Protect from market failures,861,L19,1862"
Why Do We Need Law or Laws in Society_,35.0,"Why Do We Need Law?,COURT M,Protect from market failures,861,L19,1862"
Why Do We Need Law or Laws in Society_,40.0,"Why Do We Need Law?,COURT M,Protect from market failures,861,L19,1862"
Why Do We Need Law or Laws in Society_,45.0,"Why Do We Need Law?,COURT M,Protect from market failures,861,L19,1862"
Why Do We Need Law or Laws in Society_,50.0,"Why Do We Need Law?,COURT M,Protect from market failures,861,L19,1862"
Why Do We Need Law or Laws in Society_,55.0,"Why Do We Need Law?,COURT M,Protect from market failures,861,L19,1862"
Why Do We Need Law or Laws in Society_,60.0,"Why Do We Need Law?,COURT M,Protect from market failures,861,L19,1862"
Why Do We Need Law or Laws in Society_,65.0,"Why Do We Need Law?,COURT M,Protect from market failures,861,L19,1862"
Why Do We Need Law or Laws in Society_,70.0,"Why Do We Need Law?,COURT M,Protect from market failures,861,L19,1862"
Why Do We Need Law or Laws in Society_,75.0,"Why Do We Need Law?,COURT M,Protect from market failures,861,L19,1862"
Why Do We Need Law or Laws in Society_,80.0,"Why Do We Need Law?,COURT M,Protect from market failures,861,L19,1862"
Why Do We Need Law or Laws in Society_,85.0,"Why Do We Need Law?,COURT M,Protect from market failures,861,L19,1862"
Why Do We Need Law or Laws in Society_,90.0,"Why Do We Need Law?,COURT M,Protect from market failures,861,L19,1862"
Why Do We Need Law or Laws in Society_,95.0,"Why Do We Need Law?,COURT MP,Protect from market failures,Maintain peace and safety,861,L19,1862"
Why Do We Need Law or Laws in Society_,100.0,"Why Do We Need Law?,COURT M,Protect from market failures,Maintain peace and safety,861,19,1862"
Why Do We Need Law or Laws in Society_,105.0,"Why Do We Need Law?,COURT M,Protect from market failures,Maintain peace and safety,861,19,1862"
Why Do We Need Law or Laws in Society_,110.0,"Why Do We Need Law?,COURT M,Protect from market failures,Maintain peace and safety,861,19,1862"
Why Do We Need Law or Laws in Society_,115.0,"Why Do We Need Law?,COURT M,Protect from market failures,Maintain peace and safety,861,19,1862"
Why Do We Need Law or Laws in Society_,120.0,"Why Do We Need Law?,COURT M,Protect from market failures,Maintain peace and safety,861,19,1862"
Why Do We Need Law or Laws in Society_,125.0,"Why Do We Need Law?,COURT M,Protect from market failures,Maintain peace and safety,861,19,1862"
